Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,PRECINCT 274.0,0,93,187,70,350,32.56
President and Vice President,Donald J. Trump,REP,PRECINCT 275.0,0,0,0,0,27,11.39
President and Vice President,Donald J. Trump,REP,PRECINCT 276.0,0,59,61,31,151,12.96
President and Vice President,Donald J. Trump,REP,PRECINCT 278.0,0,0,0,0,51,46.79
President and Vice President,Donald J. Trump,REP,PRECINCT 280.0,0,0,0,0,73,9.41
President and Vice President,Donald J. Trump,REP,PRECINCT 281.0,0,0,0,0,86,61.43
President and Vice President,Donald J. Trump,REP,PRECINCT 281.1,0,0,0,0,35,52.24
President and Vice President,Donald J. Trump,REP,PRECINCT 281.2,0,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,PRECINCT 282.0,0,116,137,77,330,17.47
President and Vice President,Donald J. Trump,REP,PRECINCT 284.0,0,164,195,113,472,50.92
President and Vice President,Donald J. Trump,REP,PRECINCT 285.0,0,0,0,0,76,58.46
President and Vice President,Donald J. Trump,REP,PRECINCT 288.0,0,0,0,0,4,66.67
President and Vice President,Donald J. Trump,REP,PRECINCT 289.0,0,0,0,0,26,54.17
President and Vice President,Donald J. Trump,REP,PRECINCT 291.0,0,225,289,91,605,32.93
President and Vice President,Donald J. Trump,REP,PRECINCT 295.0,0,72,128,44,244,10.15
President and Vice President,Donald J. Trump,REP,PRECINCT 296.0,0,196,242,110,548,29.62
President and Vice President,Donald J. Trump,REP,PRECINCT 297.0,0,458,709,202,1369,64.24
President and Vice President,Donald J. Trump,REP,PRECINCT 298.0,0,336,434,301,1071,56.16
President and Vice President,Donald J. Trump,REP,PRECINCT 299.0,0,285,466,187,938,64.78
President and Vice President,Donald J. Trump,REP,PRECINCT 300.0,0,351,731,156,1238,51.63
President and Vice President,Donald J. Trump,REP,PRECINCT 300.1,0,136,250,68,454,50.17
President and Vice President,Donald J. Trump,REP,PRECINCT 301.0,0,268,526,191,985,72.80
President and Vice President,Donald J. Trump,REP,PRECINCT 302.0,0,263,572,172,1007,67.00
President and Vice President,Donald J. Trump,REP,PRECINCT 303.0,0,460,804,235,1499,53.54
President and Vice President,Donald J. Trump,REP,PRECINCT 304.0,0,338,663,165,1166,49.72
President and Vice President,Donald J. Trump,REP,PRECINCT 304.1,0,0,0,0,193,49.74
President and Vice President,Donald J. Trump,REP,PRECINCT 305.0,0,421,892,168,1481,57.34
President and Vice President,Donald J. Trump,REP,PRECINCT 306.0,0,322,594,152,1068,55.17
